Mean Returns,Standard Deviation
-1219.4458006646305,0.0
-1631.0880567314823,0.0
-1703.3578892260273,0.0
-1713.9976389826982,0.0
-1632.6488827795758,0.0
-1308.8806236644468,0.0
-1214.75030148751,0.0
-983.0019167799079,0.0
-1121.1923057605388,0.0
-1238.1824158206086,0.0
-1055.644869772755,0.0
-1168.6067236038732,0.0
-587.9241672137398,0.0
-571.2819419413374,0.0
-223.1135263065652,0.0
-145.3944150405573,0.0
-266.5809732310835,0.0
-240.86724009962344,0.0
-172.36615514482278,0.0
-199.92523862240037,0.0
-209.50217303927258,0.0
-198.29464409729164,0.0
-122.37875339359928,0.0
-149.65570558656546,0.0
-120.37919453641607,0.0
-146.20679123967506,0.0
-140.2373792545905,0.0
-236.59991163845808,0.0
-168.72645004975672,0.0
-256.4647595552625,0.0
-144.56868447298706,0.0
